OrderDate;StockDate;OrderNumber;ProductKey;CustomerKey;TerritoryKey;OrderLineItem;OrderQuantity
01/01/2021;11/14/2003;SO61282;480;11276;4;1;1
01/01/2021;10/24/2003;SO61286;528;11506;6;2;2
01/01/2021;9/27/2003;SO61286;536;11506;6;1;2
01/01/2021;09/04/2003;SO61269;215;11752;4;1;1
01/01/2021;10/21/2003;SO61269;229;11752;4;2;1
01/01/2021;9/28/2003;SO61280;214;11861;4;1;1
01/01/2021;12/05/2003;SO61299;528;11861;4;2;2
01/01/2021;09/12/2003;SO61299;537;11861;4;1;1
01/01/2021;11/24/2003;SO61304;477;11861;10;2;2
01/01/2021;11/28/2003;SO61304;479;11861;10;3;2
01/01/2021;10/03/2003;SO61304;214;11861;10;4;1
01/01/2021;11/16/2003;SO61304;560;11861;10;1;1
01/01/2021;12/06/2003;SO61297;541;11861;10;1;3
01/01/2021;11/30/2003;SO61297;477;11861;10;4;2
01/01/2021;09/06/2003;SO61297;479;11861;10;3;2
01/01/2021;12/14/2003;SO61297;530;11861;10;2;2
01/01/2021;11/30/2003;SO61297;489;11861;10;5;1
01/01/2021;11/06/2003;SO61279;485;12754;10;2;2
01/01/2021;12/14/2003;SO61279;362;12754;10;1;1
01/01/2021;9/20/2003;SO61300;477;12754;4;3;2
01/01/2021;10/10/2003;SO61300;478;12754;4;2;2
01/01/2021;11/24/2003;SO61300;485;12754;4;1;2
01/01/2021;10/10/2003;SO61300;471;12754;4;4;1
01/01/2021;10/01/2003;SO61310;538;12754;8;2;2
01/01/2021;11/08/2003;SO61310;584;12754;8;1;1
01/01/2021;11/05/2003;SO61303;220;12754;10;2;1
01/01/2021;12/17/2003;SO61303;563;12754;10;1;1
01/01/2021;11/26/2003;SO61309;354;12754;9;1;1
01/01/2021;11/01/2003;SO61309;483;12754;9;2;1
01/01/2021;9/19/2003;SO61275;220;13791;9;1;1
01/01/2021;9/27/2003;SO61302;477;13791;4;2;2
01/01/2021;11/29/2003;SO61302;478;13791;4;3;2
01/01/2021;11/28/2003;SO61302;362;13791;4;1;1
01/01/2021;9/15/2003;SO61295;480;13791;1;2;2
01/01/2021;12/03/2003;SO61295;528;13791;1;1;2
01/01/2021;12/01/2003;SO61296;485;14906;8;1;2
01/01/2021;11/09/2003;SO61277;223;14906;8;3;2
01/01/2021;10/19/2003;SO61277;490;14906;8;2;1
01/01/2021;11/03/2003;SO61277;594;14906;8;1;1
01/01/2021;11/04/2003;SO61287;477;14906;6;2;2
01/01/2021;10/15/2003;SO61287;478;14906;6;1;2
01/01/2021;10/27/2003;SO61287;489;14906;6;3;1
01/01/2021;9/28/2003;SO61301;529;16533;1;2;2
